id,url,spawn,hunt_date,duration,minutes,party_size,party_comp,min_lvl,max_lvl,avg_lvl,has_creature_stats,xp_gain,raw_xp_gain,balance,supplies_total,loot_total,supplies_known,xp_h,raw_xp_h,balance_h,loot_h,query_min,query_max,query_party,query_search
6703,https://www.hunt-analyser.com/hunt_sessions/6703,Prison -1,"Oct 21, 2024 06:50",01:00h,60,1,EK 632,632,632,632,1,5399416,3599748,727926,280937,1008863,1,5399416,3599748,727926,1008863.0,0,0,,demon
6704,https://www.hunt-analyser.com/hunt_sessions/6704,Prison -1,"Oct 21, 2024 08:04",01:00h,60,1,EK 632,632,632,632,1,5401530,3601157,930323,333151,1263474,1,5401530,3601157,930323,1263474.0,0,0,,demon
7265,https://www.hunt-analyser.com/hunt_sessions/7265,Prison -1,"Oct 28, 2024 21:37",01:01h,61,1,EK 640,640,640,640,1,5378795,3586003,856295,312972,1169267,1,5290618,3527216,842257,1150099.0,0,0,,demon
43152,https://www.hunt-analyser.com/hunt_sessions/43152,Asura Palace,"Feb 01, 2026 23:38",00:44h,44,3,EM 161+ED 181+EK 156,156,181,166,1,1902182,940268,65933,407408,473341,1,2593884,1282183,89908,645465.0,0,0,,asura
43568,https://www.hunt-analyser.com/hunt_sessions/43568,Asura Mirror,"Feb 14, 2026 02:54",00:34h,34,1,RP 556,556,556,556,1,4875025,3658769,187848,269163,457011,1,8602985,6456651,331496,806490.0,0,0,,asura
43880,https://www.hunt-analyser.com/hunt_sessions/43880,True asuras,"Feb 21, 2026 20:20",01:12h,72,2,EK 606+ED 605,605,606,606,1,7523357,5129984,2235912,716944,2952856,1,6269464,4274986,1863260,2460713.0,0,0,,asura
43904,https://www.hunt-analyser.com/hunt_sessions/43904,True asuras,"Feb 22, 2026 11:35",01:42h,102,2,EK 607+ED 606,606,607,606,1,11845456,7947595,3625324,1062312,4687636,1,6967915,4675055,2132543,2757433.0,0,0,,asura
44004,https://www.hunt-analyser.com/hunt_sessions/44004,True asuras,"Feb 24, 2026 21:13",02:01h,121,2,EK 608+ED 608,608,608,608,1,23697068,8994130,3816274,1289128,5105402,1,11750612,4459899,1892367,2531604.0,0,0,,asura
44100,https://www.hunt-analyser.com/hunt_sessions/44100,True Asura [2/26],"Feb 26, 2026 13:55",03:08h,188,3,ED 630+EK 633+RP 560,560,633,608,1,41031736,0,7156277,1982020,9138297,1,13095234,0,2283918,2916478.0,0,0,,asura
44269,https://www.hunt-analyser.com/hunt_sessions/44269,True asuras,"Mar 02, 2026 18:04",01:31h,91,2,EK 609+ED 609,609,609,609,1,11575138,7717197,3517255,968966,4486221,1,7631959,5088261,2319069,2957948.0,0,0,,asura
44317,https://www.hunt-analyser.com/hunt_sessions/44317,True asuras,"Mar 03, 2026 18:13",01:48h,108,2,EK 611+ED 611,611,611,611,0,0,0,4196427,1052735,5249162,1,0,0,2331348,2916201.0,0,0,,asura
44407,https://www.hunt-analyser.com/hunt_sessions/44407,True asuras,"Mar 05, 2026 21:55",00:52h,52,2,EK 612+ED 612,612,612,612,1,12487019,4461244,2026037,493259,2519296,1,14408098,5147589,2337735,2906880.0,0,0,,asura
44487,https://www.hunt-analyser.com/hunt_sessions/44487,True asuras,"Mar 06, 2026 21:07",02:26h,146,2,EK 613+ED 613,613,613,613,1,49033383,12472501,6403066,1386306,7789372,1,20150705,5125685,2631396,3201112.0,0,0,,asura
